idx,material,kind,struct,stratum,left,right,choice,chosen
0,default_water.png,real,0.2765,seeded,baseline,model,left,baseline
1,default_mese_block.png,real,0.3289,seeded,model,baseline,right,baseline
2,farming_soil_wet.png,real,0.1518,plain,model,baseline,right,baseline
3,default_coniferous_litter.png,check,0.0648,plain,blur,good,right,good
4,default_wood.png,real,0.6748,seeded,baseline,model,left,baseline
5,default_fence_wood.png,real,0.6742,seeded,baseline,model,left,baseline
6,wool_pink.png,real,0.6243,seeded,baseline,model,left,baseline
7,default_acacia_tree_top.png,real,0.7273,seeded,baseline,model,left,baseline
8,default_fence_aspen_wood.png,real,0.5924,seeded,model,artist,right,artist
9,wool_magenta.png,real,0.5901,seeded,baseline,model,left,baseline
10,farming_desert_sand_soil_wet.png,real,0.6123,seeded,model,baseline,right,baseline
11,wool_red.png,real,0.5737,seeded,baseline,model,left,baseline
12,default_desert_sandstone.png,real,0.0457,plain,baseline,model,left,baseline
13,default_fence_aspen_wood.png,real,0.5924,seeded,model,baseline,right,baseline
14,default_fence_acacia_wood.png,real,0.6243,seeded,model,baseline,right,baseline
15,wool_blue.png,real,0.5822,seeded,baseline,model,left,baseline
16,wool_orange.png,real,0.5564,seeded,baseline,model,left,baseline
17,default_bookshelf.png,real,0.5113,seeded,model,baseline,right,baseline
18,tnt_blast.png,real,0.3318,seeded,baseline,model,left,baseline
19,default_acacia_wood.png,real,0.7071,seeded,model,baseline,right,baseline
20,default_silver_sandstone_brick.png,real,0.8505,seeded,baseline,model,left,baseline
21,default_stone.png,real,0.1915,plain,model,baseline,right,baseline
22,default_obsidian.png,real,0.0687,plain,baseline,model,right,model
23,default_mossycobble.png,real,0.0068,plain,baseline,model,right,model
24,default_diamond_block.png,real,0.5514,seeded,model,baseline,right,baseline
25,default_wood.png,real,0.6748,seeded,model,artist,right,artist
26,default_copper_block.png,real,0.85,seeded,model,baseline,right,baseline
27,default_fence_junglewood.png,real,0.6306,seeded,model,baseline,right,baseline
28,carts_cart_front.png,real,0.7678,seeded,artist,model,left,artist
29,default_dry_grass_side.png,real,0.1237,plain,model,baseline,right,baseline
30,wool_green.png,real,0.5724,seeded,baseline,model,left,baseline
31,tnt_top_burning.png,real,0.461,seeded,model,artist,right,artist
32,default_furnace_bottom.png,real,0.1157,plain,baseline,model,left,baseline
33,default_steel_block.png,real,0.8651,seeded,model,baseline,right,baseline
34,beds_bed_top1.png,real,0.8744,seeded,model,baseline,right,baseline
35,bones_top.png,real,0.4196,seeded,model,baseline,right,baseline
36,default_snow_side.png,real,0.7057,seeded,model,baseline,right,baseline
37,default_silver_sandstone_block.png,real,0.8908,seeded,baseline,model,left,baseline
38,farming_straw.png,real,0.4067,plain,baseline,model,left,baseline
39,default_fence_acacia_wood.png,check,0.6243,seeded,blur,good,right,good
40,default_jungletree.png,real,0.0957,plain,baseline,model,left,baseline
41,farming_soil.png,real,0.1406,plain,model,baseline,right,baseline
42,default_gold_block.png,real,0.85,seeded,artist,model,left,artist
43,default_desert_sandstone_brick.png,real,0.775,seeded,baseline,model,left,baseline
44,default_snow.png,real,0.0347,plain,model,baseline,right,baseline
45,wool_white.png,real,0.5924,seeded,baseline,model,left,baseline
46,carts_cart_front.png,real,0.7678,seeded,baseline,model,left,baseline
47,default_mineral_coal.png,real,0.3867,seeded,baseline,model,right,model
48,farming_soil_wet.png,check,0.1518,plain,good,blur,left,good
49,tnt_blast.png,real,0.3318,seeded,model,artist,right,artist
50,default_coral_brown.png,real,0.0431,plain,baseline,model,tie,tie
51,default_aspen_tree_top.png,real,0.2726,plain,model,baseline,left,model
52,default_desert_stone.png,check,0.0215,plain,good,blur,left,good
53,wool_black.png,real,0.5452,seeded,model,baseline,right,baseline
54,default_tree_top.png,real,0.8586,seeded,model,baseline,right,baseline
55,wool_yellow.png,real,0.5866,seeded,model,baseline,right,baseline
56,default_fence_aspen_wood.png,check,0.5924,seeded,good,blur,left,good
57,default_rainforest_litter.png,real,0.0787,plain,baseline,model,right,model
58,wool_green.png,real,0.5724,seeded,artist,model,right,model
59,default_dry_grass.png,real,0.0027,plain,model,baseline,left,model
60,default_desert_stone.png,real,0.0215,plain,model,baseline,right,baseline
61,default_brick.png,real,0.6981,seeded,baseline,model,left,baseline
62,default_coniferous_litter.png,real,0.0648,plain,model,baseline,left,model
63,default_clay.png,real,0.0428,plain,model,baseline,right,baseline
64,bones_side.png,real,0.3796,seeded,model,baseline,left,model
65,tnt_top_burning.png,real,0.461,seeded,model,baseline,right,baseline
66,default_silver_sand.png,real,0.0082,plain,baseline,model,right,model
67,default_cactus_top.png,real,0.1052,plain,baseline,model,right,model
68,default_gold_block.png,real,0.85,seeded,baseline,model,left,baseline
69,beds_bed_top_top.png,real,0.4676,seeded,model,baseline,right,baseline
70,vessels_shelf.png,real,0.4772,seeded,model,baseline,right,baseline
71,default_meselamp.png,real,0.8364,seeded,baseline,model,left,baseline
