idx,material,kind,left,right,choice,chosen
0,default_desert_stone_brick.png,real,A_artist_native,B_pipe_artist,left,A_artist_native
1,default_clay_brick.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
2,default_clay.png,real,B_pipe_artist,C_pipe_sdxl,right,C_pipe_sdxl
3,default_desert_sandstone.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
4,default_coral_green.png,real,B_pipe_artist,C_pipe_sdxl,right,C_pipe_sdxl
5,default_desert_sand.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
6,default_brick.png,real,B_pipe_artist,A_artist_native,right,A_artist_native
7,default_clay_brick.png,check,good,blur,tie,tie
8,default_desert_stone_block.png,real,B_pipe_artist,C_pipe_sdxl,right,C_pipe_sdxl
9,default_coral_orange.png,real,A_artist_native,B_pipe_artist,right,B_pipe_artist
10,default_desert_sandstone_block.png,real,B_pipe_artist,A_artist_native,right,A_artist_native
11,default_dirt.png,real,B_pipe_artist,A_artist_native,right,A_artist_native
12,default_desert_sandstone_block.png,real,B_pipe_artist,C_pipe_sdxl,right,C_pipe_sdxl
13,default_coral_brown.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
14,default_coral_green.png,real,B_pipe_artist,A_artist_native,tie,tie
15,default_desert_stone_block.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
16,default_bookshelf.png,real,C_pipe_sdxl,A_artist_native,right,A_artist_native
17,default_coral_orange.png,real,C_pipe_sdxl,B_pipe_artist,left,C_pipe_sdxl
18,default_brick.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
19,default_desert_stone.png,real,C_pipe_sdxl,A_artist_native,right,A_artist_native
20,default_coral_cyan.png,real,B_pipe_artist,C_pipe_sdxl,left,B_pipe_artist
21,default_desert_sandstone_block.png,real,A_artist_native,C_pipe_sdxl,right,C_pipe_sdxl
22,default_desert_sand.png,real,C_pipe_sdxl,B_pipe_artist,left,C_pipe_sdxl
23,default_coral_cyan.png,real,C_pipe_sdxl,A_artist_native,right,A_artist_native
24,default_clay.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
25,default_desert_sandstone.png,real,C_pipe_sdxl,B_pipe_artist,left,C_pipe_sdxl
26,default_cobble.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
27,default_desert_cobble.png,real,A_artist_native,B_pipe_artist,right,B_pipe_artist
28,default_desert_sandstone_block.png,check,blur,good,right,good
29,default_acacia_wood.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
30,default_clay_brick.png,real,B_pipe_artist,C_pipe_sdxl,right,C_pipe_sdxl
31,default_desert_stone.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
32,default_coral_pink.png,real,A_artist_native,B_pipe_artist,tie,tie
33,default_desert_sandstone_brick.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
34,default_aspen_wood.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
35,default_coral_brown.png,real,A_artist_native,C_pipe_sdxl,right,C_pipe_sdxl
36,default_coral_pink.png,real,C_pipe_sdxl,B_pipe_artist,tie,tie
37,default_desert_sandstone_brick.png,real,B_pipe_artist,C_pipe_sdxl,left,B_pipe_artist
38,default_brick.png,real,A_artist_native,C_pipe_sdxl,left,A_artist_native
39,default_desert_stone.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
40,default_desert_stone_brick.png,real,C_pipe_sdxl,A_artist_native,right,A_artist_native
41,default_aspen_wood.png,real,A_artist_native,B_pipe_artist,right,B_pipe_artist
42,default_coral_pink.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
43,default_coral_orange.png,real,A_artist_native,C_pipe_sdxl,left,A_artist_native
44,default_coral_skeleton.png,real,A_artist_native,B_pipe_artist,right,B_pipe_artist
45,default_coral_orange.png,check,blur,good,right,good
46,default_acacia_wood.png,real,B_pipe_artist,C_pipe_sdxl,left,B_pipe_artist
47,default_desert_sandstone_brick.png,real,A_artist_native,C_pipe_sdxl,left,A_artist_native
48,default_desert_cobble.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
49,default_bookshelf.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
50,default_aspen_wood.png,real,B_pipe_artist,C_pipe_sdxl,left,B_pipe_artist
51,default_acacia_wood.png,check,blur,good,right,good
52,default_coral_cyan.png,real,A_artist_native,B_pipe_artist,right,B_pipe_artist
53,default_cobble.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
