idx,material,kind,struct,stratum,left,right,choice,chosen,ms
0,wool_green.png,check,0.5724,structured,good,blur,left,good,1764
1,default_cactus_side.png,real,0,plain,artist,baseline,left,artist,1444
2,default_obsidian_brick.png,real,0.4762,structured,baseline,artist,right,artist,1448
3,default_pine_wood.png,real,0.6843,structured,baseline,artist,left,baseline,919
4,farming_soil.png,real,0.0492,plain,baseline,artist,left,baseline,1407
5,wool_green.png,real,0.5724,structured,artist,baseline,left,artist,784
6,default_fence_junglewood.png,real,0.6306,structured,baseline,artist,left,baseline,983
7,default_fence_pine_wood.png,real,0.6845,structured,baseline,artist,left,baseline,550
8,default_fence_aspen_wood.png,real,0.5924,structured,artist,baseline,right,baseline,1199
9,default_desert_sand.png,real,0,plain,baseline,artist,right,artist,3407
10,default_silver_sandstone.png,real,0,plain,artist,baseline,right,baseline,2031
11,default_grass.png,real,0,plain,baseline,artist,right,artist,2070
12,beds_bed_top_top.png,real,0.0103,plain,artist,baseline,right,baseline,1480
13,default_fence_acacia_wood.png,real,0.6243,structured,artist,baseline,right,baseline,855
14,default_coral_skeleton.png,real,-0.0199,plain,baseline,artist,left,baseline,3112
15,default_wood.png,check,0.6748,structured,good,blur,left,good,1230
16,default_acacia_wood.png,real,0.7071,structured,artist,baseline,left,artist,3088
17,beds_bed_top1.png,real,0.0681,plain,artist,baseline,right,baseline,1007
18,farming_desert_sand_soil_wet.png,real,0,plain,artist,baseline,right,baseline,1919
19,default_desert_sandstone_brick.png,real,0.4964,structured,baseline,artist,right,artist,1519
20,default_wood.png,real,0.6748,structured,artist,baseline,left,artist,1751
21,default_sandstone_block.png,real,0.0612,plain,baseline,artist,right,artist,1615
22,default_fence_junglewood.png,check,0.6306,structured,blur,good,right,good,943
23,default_dry_grass.png,real,0,plain,artist,baseline,right,baseline,3869
24,tnt_bottom.png,real,0.7251,structured,baseline,artist,left,baseline,967
25,default_mineral_iron.png,real,0.2379,plain,baseline,artist,tie,tie,1432
26,wool_grey.png,real,0.6014,structured,artist,baseline,left,artist,1527
