idx,material,kind,struct,left,right,choice,chosen
0,default_desert_sand.png,check,0.2469,good,blur,left,good
1,default_sandstone.png,real,0.2273,model,baseline,right,baseline
2,default_gravel.png,real,0.2759,model,baseline,right,baseline
3,default_tree.png,real,0.4993,baseline,model,left,baseline
4,tnt_side.png,real,0.2639,model,baseline,left,model
5,wool_violet.png,real,0.8568,baseline,model,left,baseline
6,default_stone_block.png,real,0.3631,artist,baseline,left,artist
7,default_pine_tree_top.png,real,0.3947,model,baseline,left,model
8,tnt_top_burning.png,real,0.6085,baseline,model,right,model
9,wool_pink.png,real,0.8591,baseline,model,right,model
10,default_gold_block.png,real,0.4583,baseline,model,left,baseline
11,default_permafrost.png,real,0.4809,baseline,model,right,model
12,mesecons_piston_back.png,real,0.3351,model,baseline,left,model
13,default_rainforest_litter.png,real,0.4569,baseline,model,right,model
14,vessels_shelf.png,real,0.4985,model,baseline,right,baseline
15,default_furnace_top.png,real,0.4396,baseline,model,right,model
16,default_aspen_tree_top.png,real,0.371,baseline,model,right,model
17,default_river_water.png,real,0.3975,baseline,model,left,baseline
18,default_fence_junglewood.png,real,0.6941,model,baseline,tie,tie
19,default_ice.png,real,0.6832,model,baseline,right,baseline
20,default_snow.png,real,0.5719,baseline,model,left,baseline
21,beds_bed_top_bottom.png,real,0.6283,baseline,model,right,model
22,default_tin_block.png,real,0.453,baseline,model,tie,tie
23,xpanes_bar_top.png,real,0.6279,model,baseline,left,model
24,default_tree_top.png,real,0.3949,baseline,model,right,model
25,default_meselamp.png,real,0.2738,baseline,model,left,baseline
26,default_coral_brown.png,real,0.3395,baseline,model,left,baseline
27,bones_top.png,real,0.2148,baseline,model,right,model
28,wool_magenta.png,real,0.8581,model,baseline,left,model
29,default_fence_pine_wood.png,real,0.7043,artist,model,tie,tie
30,farming_desert_sand_soil.png,real,0.4988,baseline,model,left,baseline
31,default_coal_block.png,real,0.3133,artist,baseline,right,baseline
32,default_stone_brick.png,real,0.4869,model,baseline,right,baseline
33,default_pine_tree.png,real,0.6542,artist,baseline,right,baseline
