idx,material,kind,struct,stratum,left,right,choice,chosen,ms,pair
0,knitted sweater wool · 16px,real,-0.004,16px,before,after,tie,tie,6444,p019
1,ivy covered wall · 16px,check,0,16px,good,blur,left,good,2173,
2,ivy covered wall · 24px,real,0.036,24px,before,after,right,after,7604,p017
3,concrete sidewalk slab · 24px,real,0.272,24px,before,after,right,after,865,p033
4,wet river pebbles · 24px,real,0.038,24px,before,after,tie,tie,6804,p028
5,pumice stone · 32px,real,-0.158,32px,after,before,right,before,3262,p024
6,ivy covered wall · 16px,real,0.089,16px,after,before,left,after,1606,p021
7,ivy covered wall · 32px,real,0.039,32px,after,before,left,after,1238,p004
8,pine needle floor · 24px,real,0.213,24px,after,before,left,after,1519,p037
9,wet river pebbles · 16px,real,0.099,16px,after,before,left,after,1952,p023
10,malachite ore vein · 24px,real,-0.035,24px,before,after,left,before,1510,p022
11,grass turf top · 24px,real,0.268,24px,after,before,left,after,1831,p011
12,coral reef surface · 16px,real,0.207,16px,before,after,right,after,3327,p001
13,frozen tundra ground · 16px,real,0.096,16px,before,after,right,after,3853,p013
14,wet river pebbles · 32px,real,-0.084,32px,after,before,right,before,1063,p014
15,concrete sidewalk slab · 16px,real,0.273,16px,after,before,left,after,831,p036
16,geode interior · 32px,real,-0.336,32px,after,before,right,before,1918,p035
17,malachite ore vein · 32px,real,-0.045,32px,after,before,left,after,1464,p029
18,cracked ice sheet · 32px,real,-0.169,32px,after,before,right,before,1662,p002
19,coral reef surface · 24px,real,0.181,24px,after,before,left,after,799,p003
20,pumice stone · 16px,real,-0.069,16px,after,before,right,before,873,p020
21,quartz crystal cluster · 16px,real,-0.183,16px,before,after,left,before,717,p010
22,concrete sidewalk slab · 24px,check,0,24px,good,blur,left,good,2997,
23,malachite ore vein · 16px,real,0.004,16px,after,before,left,after,1912,p025
24,grass turf top · 32px,real,0.258,32px,before,after,right,after,766,p038
25,quartz crystal cluster · 24px,real,-0.2,24px,after,before,right,before,1526,p016
26,wet river pebbles · 24px,check,0,24px,blur,good,right,good,775,
27,grass turf top · 16px,real,0.266,16px,before,after,right,after,1886,p006
28,geode interior · 24px,real,-0.325,24px,before,after,left,before,2373,p005
29,pine needle floor · 32px,real,0.19,32px,before,after,right,after,2055,p034
30,frozen tundra ground · 32px,real,0.01,32px,before,after,left,before,3166,p026
31,coral reef surface · 32px,real,0.159,32px,before,after,right,after,1541,p031
